id,minorityInterest
368d3f3e42434b11ad68bbdc0e868d48,670000000.0000
ea3c2ed7fd00439db8b425dfa64a4527,
513b9ca98f434a9590dd3910663d4915,58229000.0000
c1fe11f89fdc487cb8a1cc32fc0ee93f,
386208c19fa34b7c824226d073c93cf9,575000000.0000
5dc8adef16c840aa982831bc86de8786,
9699d520086c4ccd99aa25ca51cd00f9,
bebc8f15951d40b9ac7e1f69ff110c85,450000000.0000
d016f0ad0a35455b9387542e9fd58e6b,821156000.0000
16b9486367eb46c09ce24a1836206046,
d7f4012355354cee81ffc67727a9c78a,
978f02bbea304497b4760016bb2b4f20,
9adfca4ddefe4e31b09f5ce08190ec7f,64916000.0000
7d5d1d7836d54b998cdb1ee839358fee,3489578000.0000
73b93a05536f42aea1d687690cb9f64c,
d5c4e18b68064680bbbdce524fb2483b,
9ce4007f76cd49cc9d7a1d689fb4d25d,
da8a00a92a45403197ac8b02eef9a024,
c405dde872f14dd189b4a4f802eeb833,
d23a5432aea04803940ccc2b7ac48811,
d3f2433997364d96ab3e32efd1d8560e,
d712694ea1f343f1b8dacd7dd24b22e9,
086094a2d84e48e2be639ab1c2a18a5c,826000000.0000
fc12546384e74138a1dee47b2c011be6,849000000.0000
d81afdf5fc6f4d44a1ecaaac6f445f5f,
0667f9155637453b9b04b9392c16fc65,
1d9d393a5d45467a93b562d97f194657,
d42072ba05014f8a9e6461433660688c,862000000.0000
8051cce87eaa4c8487c9d7dd48532e4a,
28719ea694084b9d86ec8ba5550e680b,1880000000.0000
f216f585e16e45d5a8ee6cf360d75f55,
0333987c1319406bb0f870c30f87d408,1065000000.0000
72a43055e9f246268b33ac32338ac193,
521285d3aa334568be4743b4aa5a4c6f,
d141606b834b4996a73e4000d758d75d,1132312000.0000
e399137cfd0b47568bd7b3bee41b9645,5874000000.0000
ee4d9844345143c38ce5aec0c2af4914,
b4e29d74d50a4b509be69065955e3b92,
9dd859bcb562449d8bb10e9904f6d572,
76ce4e8af4004441bd9115e33d9aba51,
993071b7af144493ad76962f5ffe3c2c,
7ded3471bd834db8b21609ae0f0d55ac,
63000f049de243138745a502aa4342ad,
e7ca2166e35d4c928a2ccb53cf86d7eb,
890b458b7a28471ca3f9146e048f1aac,
30cf4bdbf00b44a2aa62db0907a45a9d,
09faf4e958734d508dc959f799ab1744,
26ee3b701a344378b7c69d6aea67c62f,
4d9f79b975914559accd63d413e18985,
2b3d194e2eb84495a975e3faa4a9405c,
7cec4fb6c4904645bf6214c13d1b7159,
4317c03d3798430d92807cf69a3a8be6,
98138141ffcd4fe4ac09a1d59f7308c5,
39bf1415a02445d18fc9af39607c5e5c,
6a12ce9d400a4f01aeff4e4d7436c927,409100000.0000
68fbd2b3b9664e3a9739aa941e7386f1,
99ac2573b4ae422c874e8fda3a20710c,173500000.0000
2b5bf1bfab1a4786b43d4073e956ad9c,
07dd53cde91f4ea49765c55cd8c835d3,
0003550d08fb4f8e8918a6d2c9d6facc,
c3dcb75e43cf4010acfffc30aaac5ddd,482576000.0000
a20b274ec56b4b1191168cefd946ffa8,12300000.0000
5b961f348242465aa0779340f15a0ce6,
5a46f65f742641038bcb842dee866bbb,
f4d3a04c7d624ff29ea38a96d29f48d5,
8401c4d01ef04959a7571f0e43a60889,
fa9bd5887ab5416782570487b28ec3ab,
80c933db84524b45937021e6fa0a8345,
0dc2a8ed7706494fb58bce7d24ef1cee,
6e5884cf193f4b82856101ecb7a56ece,
1cbde91bcbaa482ca850807b25b67a0d,
09f53ab420a949c8a5a0b3a927501b28,
efd5151750fc47f490f833691c730628,
fe1696e0f81042deada939931b30035f,
